,title,price,link,parts
15,porsche 914 rear engine lid,175,https://charlottesville.craigslist.org/pts/d/woodberry-forest-porsche-914-rear/7868320705.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
16,1964 ford galaxie front bench seat and rear seat,450,https://charlottesville.craigslist.org/pts/d/woodberry-forest-1964-ford-galaxie/7865129471.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
17,1964 ford galaxie driver side front fender,150,https://charlottesville.craigslist.org/pts/d/woodberry-forest-1964-ford-galaxie/7868320779.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
18,mg midget austin healey sprite front nose valence,250,https://charlottesville.craigslist.org/pts/d/woodberry-forest-mg-midget-austin/7868320931.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
19,1964 ford galaxie front and rear bumpers,300,https://charlottesville.craigslist.org/pts/d/woodberry-forest-1964-ford-galaxie/7872262871.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
20,1957 chevrolet bel air 2-door hardtop - driver side door,400,https://charlottesville.craigslist.org/pts/d/woodberry-forest-1957-chevrolet-bel-air/7868320337.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
21,ford flat head \ flathead 6 cylinder,500,https://charlottesville.craigslist.org/pts/d/woodberry-forest-ford-flat-head/7865129582.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
22,"triumph tr4 driver left side door with glass, exterior handle & hinges",175,https://charlottesville.craigslist.org/pts/d/woodberry-forest-triumph-tr4-driver/7868320203.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
23,volkswagen vw vanagon van seat,150,https://charlottesville.craigslist.org/pts/d/woodberry-forest-volkswagen-vw-vanagon/7874372605.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
24,ford fe c4se 9425a cast iron 4 barrel intake,150,https://charlottesville.craigslist.org/pts/d/woodberry-forest-ford-fe-c4se-9425a/7861866482.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
